City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
387,Pangai,TO,80.71,few clouds,-19.8,-174.35,Ha'apai Beach Resort
390,Ponca City,US,84.16,clear sky,36.707,-97.0856,"Holiday Inn Express & Suites Ponca City, an IHG Hotel"
392,College,US,71.92,light rain,64.8569,-147.8028,Pike's Waterfront Lodge
394,Aljezur,PT,60.4,clear sky,37.3191,-8.8033,Amazigh Hostel
402,Port Moresby,PG,81.68,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
403,Gat,IL,77.68,broken clouds,31.61,34.7642,OlusHome
404,Pirgos,GR,78.48,clear sky,35.1167,25.7178,Daios Cove
406,Karpathos,GR,74.59,clear sky,35.507,27.2132,Alex
408,Andros Town,BS,80.56,overcast clouds,24.7,-77.7667,Hanks place
410,Lebanon,US,79.45,clear sky,36.2081,-86.2911,Hampton Inn & Suites Lebanon
411,Damavand,IR,75.04,clear sky,35.7178,52.065,آپارتمان زمانیان
414,Margate,GB,64.31,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
416,Lakes Entrance,AU,60.19,clear sky,-37.8811,147.981,The Esplanade Resort & Spa
419,Porto,PT,61.2,scattered clouds,41.1496,-8.611,Pestana Vintage Porto
421,Cayenne,GF,80.1,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
422,Casa Nova,BR,68.83,clear sky,-9.4167,-41.1333,Pousada e Restaurante Dona Xinha
425,Dicabisagan,PH,83.32,light rain,17.0818,122.4157,Nancy Montanes Bernardo
428,Asau,RO,62.76,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
430,Chau Doc,VN,82.54,overcast clouds,10.7,105.1167,JADE AND SAPPHIRE GUESTHOUSE
431,Petropavl,KZ,78.78,scattered clouds,54.8753,69.1628,Отель GREENWICH
433,Pilar,BR,67.93,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
435,Nuevo Progreso,MX,82.6,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
437,Chlorakas,CY,76.23,clear sky,34.8042,32.4083,Elysium Hotel
438,Kibala,TD,73.35,clear sky,9.1104,18.3463,hotel safari
439,Belen,TR,71.74,clear sky,36.4891,36.2233,Varlıbaş Uyku Sarayı
441,Yuzhnyy,RU,68.38,light rain,53.2542,83.6936,Парк-отель Лесные дали
442,Flin Flon,CA,62.04,broken clouds,54.7682,-101.865,Victoria Inn Flin Flon
444,Vilyuysk,RU,75.51,overcast clouds,63.7553,121.6247,Gostinitsa Viliuisk
446,Lively,CA,65.21,overcast clouds,46.4334,-81.1498,Lively Inn and Suites - Sudbury
447,Asfi,MA,68.77,clear sky,32.2994,-9.2372,Hôtel Abda
448,Sambava,MG,65.46,clear sky,-14.2667,50.1667,Melrose
449,Asuncion,PY,72.9,clear sky,-25.3007,-57.6359,"Crowne Plaza Asuncion, an IHG Hotel"
450,Kwinana,AU,64.81,overcast clouds,-32.25,115.7667,Rockingham Apartments
452,Divnomorskoye,RU,68.18,scattered clouds,44.5011,38.1353,Primorskiy
455,Alberton,CA,60.93,moderate rain,46.8168,-64.0654,La Petite France B&B
456,Atchison,US,83.01,few clouds,39.563,-95.1216,"Quality Inn, Atchison"
457,Jishou,CN,83.79,overcast clouds,28.3167,109.7167,7 Days Inn
459,The Valley,AI,82.26,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
